,,,,Permit Rate,Completion Conversion Rate,Friction Rate,
Jurisdiction,SUM of Total Entitlements,SUM of Total Number of Building Permits,SUM of Total Number of Units Issued Cert. of Occupancy,#VALUE!,#VALUE!,#VALUE!,
BUELLTON,532,251,110,0.471804511,0.438247012,0.548329988,
CARPINTERIA,136,104,60,0.764705882,0.576923077,0.347963801,
GOLETA,493,583,910,1,1,0,
GUADALUPE,305,598,123,1,0.205685619,0.476588629,
LOMPOC,53,85,110,1,1,0,
SANTA BARBARA,1169,1688,1342,1,0.795023697,0.122985782,
SANTA BARBARA COUNTY,864,2079,897,1,0.431457431,0.341125541,
SANTA MARIA,3788,3566,2710,0.941393875,0.759955132,0.167469371,
SOLVANG,52,47,43,0.903846154,0.914893617,0.089525368,
Grand Total,7392,9001,6305,,,,