Place,Total:,No vehicle available,1 vehicle available,2 vehicles available,3 or more vehicles available,"Car, truck, or van - drove alone:","Car, truck, or van - carpooled:",Public transportation (excluding taxicab):,Walked:,"Taxicab, motorcycle, bicycle, or other means:",Worked from home:,Workers 16 years and over,Worked from home (Percent)
"Ballard CDP, California",292,0,58,76,158,176,18,0,9,34,55,292,19%
"Buellton city, California","2,954",17,569,"1,155","1,213","2,221",288,39,30,63,313,"2,954",11%
"Carpinteria city, California","6,495",46,"1,280","2,820","2,349","4,106",675,177,404,214,919,"6,501",14%
"Casmalia CDP, California",30,0,30,0,0,0,0,0,0,0,30,30,100%
"Cuyama CDP, California",14,0,0,0,14,14,0,0,0,0,0,14,0%
"Eastern Goleta Valley CDP, California","12,770",221,"1,736","5,262","5,551","8,230",848,246,268,579,"2,599","12,825",20%
"Garey CDP, California",22,0,12,0,10,22,0,0,0,0,0,22,0%
"Goleta city, California","17,526",361,"3,006","7,032","7,127","10,816","1,835",418,460,870,"3,127","17,539",18%
"Guadalupe city, California","2,972",30,501,"1,153","1,288","2,327",462,45,48,9,81,"2,972",3%
"Isla Vista CDP, California","5,718",650,"1,793","1,411","1,864","3,037",278,220,918,868,397,"6,366",6%
"Lompoc city, California","17,672",848,"3,397","6,077","7,350","11,743","2,998",747,745,378,"1,061","17,692",6%
"Los Alamos CDP, California",367,0,81,218,68,190,88,0,11,0,78,381,20%
"Los Olivos CDP, California",400,0,64,169,167,254,9,0,39,0,98,400,25%
"Mission Canyon CDP, California","1,124",0,41,638,445,597,37,0,43,20,427,"1,124",38%
"Mission Hills CDP, California","1,653",0,131,477,"1,045","1,096",186,162,49,18,142,"1,653",9%
"Montecito CDP, California","2,758",24,460,"1,311",963,"1,610",62,0,125,77,884,"3,242",27%
"New Cuyama CDP, California",183,4,24,73,82,148,13,0,0,2,20,183,11%
"Orcutt CDP, California","13,978",391,"1,448","5,122","7,017","10,917","1,165",287,119,304,"1,186","14,003",8%
"Santa Barbara city, California","44,711","1,742","11,605","18,359","13,005","27,443","4,339",985,"1,836","2,486","7,622","44,907",17%
"Santa Maria city, California","47,468","1,147","6,046","15,784","24,491","34,148","8,961",773,551,537,"2,498","47,612",5%
"Santa Ynez CDP, California","2,163",8,195,539,"1,421","1,597",0,0,44,7,515,"2,164",24%
"Sisquoc CDP, California",78,0,6,42,30,52,26,0,0,0,0,78,0%
"Solvang city, California","3,067",52,534,"1,112","1,369","1,903",278,32,222,46,586,"3,068",19%
"Summerland CDP, California",494,0,44,93,357,247,0,0,0,0,247,494,50%
"Toro Canyon CDP, California",713,31,48,200,434,362,134,0,57,17,143,716,20%
"University of California-Santa Barbara CDP, California","1,080",29,541,452,58,247,105,18,131,235,344,"4,145",8%
"Vandenberg AFB CDP, California","1,691",0,549,927,215,"1,322",131,21,27,69,121,"1,990",6%
"Vandenberg Village CDP, California","3,172",0,326,920,"1,926","2,604",225,35,76,35,197,"3,175",6%
"Santa Barbara County, California","197,662","5,724","35,147","73,836","82,955","131,398","23,794","4,230","6,523","7,021","24,696",202844.00,12%
Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA,"57,677","1,488","7,203","20,119","28,867","42,092","9,845",986,717,820,"3,217",57846,6%
"Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","45,538","1,129","7,124","15,856","21,429","31,807","5,644","1,171","1,482",795,"4,639",46019,10%
Santa Barbara County--South Coast Region PUMA,"94,447","3,107","20,820","37,861","32,659","57,499","8,305","2,073","4,324","5,406","16,840",98979,17%
North County (Santa Maria/Orcutt + Lompoc/Guadalupe/Solvang/Buellton PUMAs),103215,2617,14327,35975,50296,73899,15489,2157,2199,1615,7856,103865,8%
South Coast (PUMA),"94,447","3,107","20,820","37,861","32,659","57,499","8,305","2,073","4,324","5,406","16,840",98979,17%